ds,cpu,memory
2025-10-01 00:00:00,31.4901424590337,45.745071229516846
2025-10-01 00:05:00,30.057671340506847,45.010752398588835
2025-10-01 00:10:00,32.887786145529134,46.407726680804394
2025-10-01 00:15:00,35.98565057286533,47.93857607691347
2025-10-01 00:20:00,31.185317876737304,45.52032736539158
2025-10-01 00:25:00,31.65575328813898,45.73746331309587
2025-10-01 00:30:00,37.56515095523223,48.6740811454616
2025-10-01 00:35:00,35.597920761602666,47.672385955628535
2025-10-01 00:40:00,32.35384731291448,46.03227019776687
2025-10-01 00:45:00,35.854949133839156,47.76474328554023
2025-10-01 00:50:00,33.300154684172,46.469269600162335
2025-10-01 00:55:00,33.75429396385364,46.67826429290634
2025-10-01 01:00:00,36.33617965951177,47.951133858374256
2025-10-01 01:05:00,30.32679442211673,44.928369773323226
2025-10-01 01:10:00,31.345556366199723,45.41968124627318
2025-10-01 01:15:00,35.28425535318234,47.37096335917016
2025-10-01 01:20:00,34.380368362117075,46.90095475275505
2025-10-01 01:25:00,38.806087000022856,49.095751381729926
2025-10-01 01:30:00,35.580300893110085,47.46479821036908
2025-10-01 01:35:00,34.50484195491439,46.909011346584435
2025-10-01 01:40:00,43.57223984402717,51.42465577078932
2025-10-01 01:45:00,38.92747619522185,49.084222451460214
2025-10-01 01:50:00,40.23268480794801,49.71877843938222
2025-10-01 01:55:00,36.17674873078333,47.67276540987369
2025-10-01 02:00:00,39.234152762288694,49.183425913212226
2025-10-01 02:05:00,41.61160963408171,50.35411646617002
2025-10-01 02:10:00,38.2324563414816,48.64650571733478
2025-10-01 02:15:00,43.21400396472153,51.11924935771453
2025-10-01 02:20:00,40.68117008474109,49.834806328632254
2025-10-01 02:25:00,41.99871285762904,50.47555585894591
2025-10-01 02:30:00,41.45374482801572,50.18505437174311
2025-10-01 02:35:00,49.194965957601696,54.037651998604
2025-10-01 02:40:00,43.970938985475144,51.40763025975849
2025-10-01 02:45:00,41.20546881507597,50.00689175756684
2025-10-01 02:50:00,47.20712104978215,52.98971944431138
2025-10-01 02:55:00,41.43139891425196,50.08386508286616
